Topic ID,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
0,skin,refresh,pineapple,cleanser,rhodeskincom,rinse,makeup,january,gentle,away,lather,rhode,miss,balm,routine
1,rhode,skin,oil,look,formula,creamy,like,peptide,pineapple,glazing,barrier,essential,free,satiny,bubble
2,fresh,lip,shade,peptide,tint,rhodeskincom,finish,juicy,sheer,crushed,onto,jelly,red,color,february
3,skin,lip,step,prep,glazing,acid,peptide,hydration,milk,tint,shade,finish,dewy,cheek,help
4,lip,pocket,blush,summer,duo,peptide,tint,peach,shade,coral,case,spritz,guava,pink,rhodeskincom
5,blush,pocket,little,flush,health,girl,six,rhodeskincom,woman,loom,sleepy,shade,pt,go,barrier
6,rhode,take,new,booth,tomorrow,u,summer,join,coming,sun,soon,london,travel,desert,bomb
7,rhode,routine,tap,teddy,way,rhodeskincom,blush,sleepy,designed,toasted,booth,toe,head,favorite,nourishing
8,pocket,blush,shade,little,june,pt,cheek,something,juice,wear,hb,piggy,peptide,box,toasted
9,lip,case,tint,rhode,peptide,rhodeskincom,toast,glazing,raspberry,jelly,taupe,rose,berry,crushed,formula
10,tint,lip,espresso,shade,brown,peptide,back,rich,february,ribbon,sheer,pink,glossy,coming,text
11,rhode,skin,new,ingredient,kit,rhodeskincom,formula,hydration,one,like,miami,skincare,next,always,reach
12,rhode,essential,skin,barrier,rhodeskincom,every,day,everyday,like,go,meet,glazing,check,non,work
13,lip,glazing,tint,peptide,rhode,skin,hydration,essential,milk,barrier,hydrate,treatment,shade,prep,fluid
14,rhode,skin,summer,glazing,rhodeskincom,get,barrier,essential,ingredient,blush,milk,reach,day,sun,peptide
